Region,Crime_Type,Year,Qtr,No_of_Offences,Population_Num,Live_Register_Num,Mean_Disposable_Income,Rent_Rates,CPI_All_Items,CPI_Water_Electricity_Gas,GBP_per_Euro,USD_per_Euro,Sunshine_Hours,Rainfall(mm),At_Risk_of_Poverty_Rate,Consistent_Poverty_Rate,Daily_Internet_Users,Garda’_Num,Marriages_Num,Government_Party,Tobacco_gm_per_capita,Alcohol_ltr_per_capita,Pop_In_Good_Health
Eastern,Theft and related offences,2007,2,2519,796000,61644,60874,999.36,4.9,20.4,0.6756,1.3419,660.7,194.3,8.8,2.3,43,16776,5558,Fianna F‡il,1605,13.2,84
Eastern,Theft and related offences,2007,3,2595,796000,65397,60874,1008.7,4.9,20.4,0.6889,1.3896,523.4,303.2,8.8,2.3,43,16776,8949,Fianna F‡il,1605,13.2,84
Eastern,Theft and related offences,2007,4,2607,796000,64278,60874,1011.88,4.9,20.4,0.7206,1.457,247.2,226.6,8.8,2.3,43,16776,4848,Fianna F‡il,1605,13.2,84
Eastern,Theft and related offences,2008,1,2246,813400,77056,61496,1011.41,4.1,9.6,0.7749,1.5527,294,297.8,10.2,2.3,46,17799,3228,Fianna F‡il,1439,12.2,84.3
Eastern,Theft and related offences,2008,2,2691,813400,83878,61496,1010.66,4.1,9.6,0.7915,1.5553,539.9,169.3,10.2,2.3,46,17799,5351,Fianna F‡il,1439,12.2,84.3
Eastern,Theft and related offences,2008,3,2703,813400,96859,61496,1003.98,4.1,9.6,0.7992,1.437,343.2,368.7,10.2,2.3,46,17799,8751,Fianna F‡il,1439,12.2,84.3
Eastern,Theft and related offences,2008,4,2680,813400,107764,61496,991.31,4.1,9.6,0.9045,1.3449,228.1,260.8,10.2,2.3,46,17799,4857,Fianna F‡il,1439,12.2,84.3
Eastern,Theft and related offences,2009,1,2641,820800,135929,58759,967.17,-4.5,-22,0.9197,1.305,257.3,170.9,14.6,3.7,49,17579,3450,Fianna F‡il,1360,11,83.1
Eastern,Theft and related offences,2009,2,2924,820800,151517,58759,936.97,-4.5,-22,0.8567,1.4016,587.1,268.5,14.6,3.7,49,17579,5432,Fianna F‡il,1360,11,83.1
Eastern,Theft and related offences,2009,3,2756,820800,163406,58759,903.25,-4.5,-22,0.8914,1.4562,446.8,365.6,14.6,3.7,49,17579,8047,Fianna F‡il,1360,11,83.1
Eastern,Theft and related offences,2009,4,2568,820800,160960,58759,869.27,-4.5,-22,0.8997,1.4614,197.6,377.5,14.6,3.7,49,17579,4698,Fianna F‡il,1360,11,83.1
Eastern,Theft and related offences,2010,1,2477,828400,168325,57023,837.65,-1,1.3,0.9016,1.3569,256.8,169.1,16.3,4.9,52,16544,3372,Fianna F‡il,1226,11.6,82.8
Eastern,Theft and related offences,2010,2,2724,828400,171185,57023,817.69,-1,1.3,0.8277,1.2209,592.4,154.4,16.3,4.9,52,16544,4993,Fianna F‡il,1226,11.6,82.8
Eastern,Theft and related offences,2010,3,3050,828400,176696,57023,807.9,-1,1.3,0.8399,1.3067,440.5,353,16.3,4.9,52,16544,7774,Fianna F‡il,1226,11.6,82.8
Eastern,Theft and related offences,2010,4,2464,828400,166943,57023,799.73,-1,1.3,0.8481,1.322,255.4,219.9,16.3,4.9,52,16544,4455,Fianna F‡il,1226,11.6,82.8
Eastern,Theft and related offences,2011,1,2784,833800,172023,54111,791.3,2.6,9.7,0.8665,1.3999,311.7,203,13.5,7.9,57,16843,3047,Fine Gael,1241,11.7,83.2
Eastern,Theft and related offences,2011,2,2755,833800,174071,54111,787.79,2.6,9.7,0.8875,1.4388,589.6,167.1,13.5,7.9,57,16843,5015,Fine Gael,1241,11.7,83.2
Eastern,Theft and related offences,2011,3,2926,833800,178227,54111,785.13,2.6,9.7,0.8717,1.377,380.7,247.9,13.5,7.9,57,16843,7532,Fine Gael,1241,11.7,83.2
Eastern,Theft and related offences,2011,4,2448,833800,169937,54111,777.76,2.6,9.7,0.8441,1.3179,197.4,327.8,13.5,7.9,57,16843,4261,Fine Gael,1241,11.7,83.2
Eastern,Theft and related offences,2012,1,2725,840100,172399,51589,773.51,1.7,0.6,0.8345,1.3201,271,202.1,12.5,4.1,63,16843,2812,Fine Gael,1163,11.5,82.7
Eastern,Theft and related offences,2012,2,2639,840100,172637,51589,771.92,1.7,0.6,0.8058,1.2526,446.3,305.7,12.5,4.1,63,16843,5411,Fine Gael,1163,11.5,82.7
Eastern,Theft and related offences,2012,3,2418,840100,176208,51589,771.79,1.7,0.6,0.7982,1.2856,438.5,309.5,12.5,4.1,63,16843,7712,Fine Gael,1163,11.5,82.7
Eastern,Theft and related offences,2012,4,2545,840100,165942,51589,770.66,1.7,0.6,0.8124,1.3119,222.2,250.1,12.5,4.1,63,16843,4778,Fine Gael,1163,11.5,82.7
Eastern,Theft and related offences,2013,1,2471,840800,168721,50938,771.1,0.5,0.7,0.86,1.2964,159.4,212.7,12.3,5.9,63,16328,3642,Fine Gael,1026,10.6,82
Eastern,Theft and related offences,2013,2,2795,840800,167784,50938,771.73,0.5,0.7,0.8519,1.3189,509,213.1,12.3,5.9,63,16328,5444,Fine Gael,1026,10.6,82
Eastern,Theft and related offences,2013,3,2992,840800,168444,50938,780.86,0.5,0.7,0.8417,1.3348,476.7,176,12.3,5.9,63,16328,7760,Fine Gael,1026,10.6,82
Eastern,Theft and related offences,2013,4,2669,840800,155952,50938,788.14,0.5,0.7,0.8364,1.3704,203.5,361.2,12.3,5.9,63,16328,4924,Fine Gael,1026,10.6,82
Eastern,Theft and related offences,2014,1,2534,846900,157147,50847,794.16,0.2,0,0.8317,1.3823,238.3,371.4,14.9,6.2,65,16329,3624,Fine Gael,982,11,82.5
Eastern,Theft and related offences,2014,2,2718,846900,154612,50847,806.93,0.2,0,0.8041,1.3592,469,247.4,14.9,6.2,65,16329,5567,Fine Gael,982,11,82.5
Eastern,Theft and related offences,2014,3,2980,846900,154335,50847,829.82,0.2,0,0.7911,1.2901,435.4,201.9,14.9,6.2,65,16329,8048,Fine Gael,982,11,82.5
Eastern,Theft and related offences,2014,4,2662,846900,141621,50847,844.51,0.2,0,0.7883,1.2331,233.3,380,14.9,6.2,65,16329,4956,Fine Gael,982,11,82.5
