"Total Rainfall (Millimetres) by Month and Meteorological Weather Station"

" ","Belmullet","Cork airport","Dublin airport","Malin head","Mullingar"
"2013M01",153.9,160.5,94.4,145.6,117.8
"2013M02",57.9,50.1,47.3,68.3,54.8
"2013M03",44.5,134.9,85.5,61.6,40.1
"2013M04",81.8,97.2,40.1,62.8,78.2
"2013M05",271.6,64.3,42.4,103.2,72.1
"2013M06",42.9,116.4,60.8,83.8,62.8
"2013M07",81.0,87.1,72.0,61.1,73.8
"2013M08",67.9,32.0,45.3,88.0,40.5
"2013M09",71.3,58.3,39.5,69.6,61.7
"2013M10",97.3,169.1,123.4,104.2,172.4
"2013M11",63.9,62.6,42.4,103.2,46.2
"2013M12",180.9,226.0,84.0,176.7,142.6
"2014M01",214.6,189.0,100.6,162.7,149.5
"2014M02",197.0,238.0,88.5,190.2,151.8
"2014M03",82.3,107.1,53.7,75.4,70.1
"2014M04",54.8,108.7,37.2,31.8,62.3
"2014M05",103.6,66.8,88.5,85.5,121.7
"2014M06",44.6,85.3,36.2,46.9,63.4
"2014M07",60.9,48.6,36.6,88.3,35.2
"2014M08",90.6,83.3,171.4,93.2,150.3
"2014M09",25.7,20.4,26.5,23.7,16.4
"2014M10",175.6,179.6,90.3,130.9,120.9
"2014M11",86.3,191.8,140.8,134.6,154.3
"2014M12",144.3,61.1,56.2,151.8,104.8
"2015M01",171.7,114.9,47.4,175.3,88.8
"2015M02",72.2,52.7,34.6,87.8,53.9
"2015M03",106.2,88.7,57.5,123.7,92.6
"2015M04",62.7,17.0,43.9,61.1,64.2
"2015M05",110.1,137.0,90.5,138.1,135.7
"2015M06",52.1,53.4,14.1,55.0,36.7

"Source: Met Eireann "

