 ,South,Dublin,North,East,West,,,,South,Dublin,North,East,West
2008M09,123.8,111.8,89.9,100,86.4,,,,,,,,
2008M10,139.2,97.4,144.8,123.9,156.4,,,,,,,,
2008M11,79.4,39.6,115.6,75.6,92.2,,,,,,,,
2008M12,60.2,39.5,85.7,61.3,75.1,,,,,,,,
2009M01,201.9,62,98.8,104.6,120.5,,,,,,,,
2009M02,17,56.8,42,25.8,15.7,,,,,,,,
2009M03,41.1,25.5,86,40.5,63.9,,,,,,,,
2009M04,159.8,71.6,97.1,108.1,90.9,,,,,,,,
2009M05,85.7,75,92.8,69.8,98.8,,,,,,,,
2009M06,84.8,76.2,49.3,90.6,58.5,,,,,,,,
2009M07,203.7,153.9,70.6,192.4,116.1,,,,,,,,
2009M08,155.5,69.1,165.9,135.1,119.3,,,,,,,,
2009M09,53.8,24.2,71,38.1,56.9,,,,,,,,
2009M10,180.6,84.9,118.5,111.7,106.9,,,,,,,,
2009M11,232.8,149.4,217.7,191.6,245.6,,,,,,,,
2009M12,157.6,71.6,57,74.2,70.4,,,,,,,,
2010M01,125.7,42.7,70.1,45,30.8,,,,,,,,
2010M02,42.7,36.7,87,41.9,35.1,,,,,,,,
2010M03,96.2,54.8,81.6,82.2,81.9,,,,,,,,
2010M04,40.9,26.7,52.7,53.6,72.8,,,,,,,,
2010M05,47.3,48.8,51.5,44.6,54.3,,,,,,,,
2010M06,63.4,43.3,43.3,56.2,36.2,,,,,,,,
2010M07,119.5,74.7,128.6,139.2,121.3,,,,,,,,
2010M08,17.1,48,66.9,47.4,37.7,,,,,,,,
2010M09,81.4,105.5,144.1,166.4,139.8,,,,,,,,
2010M10,118,29.6,69.8,57.5,77.4,,,,,,,,
2010M11,85.6,100.5,115.6,125.2,131.8,,,,,,,,
2010M12,66.9,57.6,69,37.2,26,,,,,,,,
2011M01,75.8,29.4,89.6,47.6,74.6,,,,,,,,
2011M02,127.7,75.9,104.4,118.5,148.5,,,,,,,,
2011M03,35.7,19.4,58.7,36.9,34.7,,,,,,,,
2011M04,39.7,28.4,66.2,34.2,41.8,,,,,,,,
2011M05,122.3,37.1,100.4,67.8,93.3,,,,,,,,
2011M06,88.7,64.2,84.5,65.1,112.5,,,,,,,,
2011M07,40.3,42.6,50.3,61.2,31.7,,,,,,,,
