North,2003,246714
North,2006,267264
North,2011,294803
West,2003,464296
West,2006,504121
West,2011,542547
South,2003,1100614
South,2006,1173340
South,2011,1246088
East,2003,2105579
East,2006,2295123
East,2011,2504814
Dublin,2003,1122821
Dublin,2006,1187176
Dublin,2011,1273069
 ,,
 ,,
